certificateNo,name,documentType,facilityType,facilityClass,city,district,placeId,reason,firstPartySource
"2022-7-0535","ERKAL RESORT HOTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJx4rO0423wxQRqUWuaj8Ww04","operational-confirmed",""
"2022-7-1092","ERSAN OTEL","Basit Konaklama","OTEL","","ANTALYA","MANAVGAT","ChIJnaIoTdZZwxQRglCeRAMuA6g","operational-confirmed",""
"12032","ESMA CLOVE RESORT","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","KEMER","ChIJXW-0IvW3wxQRaMOlW-zi5hQ","operational-confirmed",""
"G_25972","EUROPA ŞELALE HOTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","KONYAALTI","ChIJxexh46SRwxQRmo9DZcOdkpI","operational-confirmed",""
"6239","FAME BEACH HOTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","KEMER","ChIJ6URHQpm3wxQRkK1I-AC2_Ok","operational-confirmed",""
"2022-7-0525","FAME OTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJPe21FuKPwxQRCctfj10tH1I","operational-confirmed",""
"16174","FAME RESİDENCE GÖYNÜK OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","KEMER","ChIJ93La3_a4wxQRKeWDxVkSWhk","operational-confirmed",""
"23071","FASHIONTV LUXE RESORT","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJe523-1u5wxQRVhqzv2Cd8w4","operational-confirmed",""
"6450","FEBEACH OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJyZpwOHxZwxQRQ7WXtbsojcA","operational-confirmed",""
"2022-7-1495","FORE RESORT OTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJgQMEJ-u3wxQRv0NwB0_HAhQ","operational-confirmed",""
"10021","FOREST PARK","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","KEMER","ChIJQYoJsKS3wxQRFZc6fR4FigQ","operational-confirmed",""
"2022-7-1467","FUN SUN SMART AKMAN BEACH","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJTYrmjXa2wxQRghj3_7V6mHA","operational-confirmed",""
"11558","FUN SUN SMART LUREA BEACH","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","KEMER","ChIJgQsBh_a3wxQR_gDkuNOwMQU","operational-confirmed",""
"8424","GALAXY BEACH","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJi4cWtqCQ3BQRbKUGCCG4Lu4","operational-confirmed",""
"5153","GALERİ RESORT HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJq6qq6jCs3BQRVyzIAM2FEVU","operational-confirmed",""
"G_25248","GARDEN PARK BELDİBİ HOTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","KEMER","ChIJjTw9zw-_wxQR9juwSbulWt8","operational-confirmed",""
"6055","GARDENIA BEACH OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJgdpKYf6s3BQRhIs4jF8PluQ","operational-confirmed",""
"2455","GARDENİA","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJCSz315qi3BQR_9sDWLLO-Fk","operational-confirmed",""
"9590","GOLDEN LOTUS","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","KEMER","ChIJR2Id2Ju3wxQRq_UFI1ZVzVM","operational-confirmed",""
"2022-7-1280","GRAF VİCTOR OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJ13MZLYSZ3BQR8n5a5GmSlmM","operational-confirmed",""
"24970","GRANADA LUXURY RED","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJFehGPViv3BQR8rOmpCeIQTg","operational-confirmed",""
"23985","GRAND CORTEZ RESORT HOTEL & SPA","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJ8wqiCS-l3BQReaww-Ace6ls","operational-confirmed",""
"2021-7-0026","GRAND HOTEL DERİN","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJLU5PcBe_wxQRuHcBONbyvvE","operational-confirmed",""
"G_25152","GRAND MİR'AMOR HOTEL & SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJMTPuVwC3wxQRCWkjeg4QJvg","operational-confirmed",""
"2022-7-0530","GRAND NAR OTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJ-2_iU6S3wxQRJvBpr80g-3c","operational-confirmed",""
"2022-7-0467","GRAND VİKİNG","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJP2NKq6W3wxQRxJFxdlxuwZg","operational-confirmed",""
"12464","GRAND ZAMAN GARDEN OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJrdxPlgua3BQR7f-0AYUVPLQ","operational-confirmed",""
"2022-7-1292","GÜL MOUNTAIN HOTEL","Basit Konaklama","HOTEL","","ANTALYA","KEMER","ChIJyR1dmv3FwxQRVsuAjUJCTi4","operational-confirmed",""
"4501","GÜLERYÜZ 2 OTEL","Turizm İşletmesi Belgesi","Otel","2 Yıldızlı","ANTALYA","MURATPAŞA","ChIJkeRXvYViwxQRxoS1Ny6O6R0","operational-confirmed",""
"2022-7-0509","GÜNDÜZ OTEL","Basit Konaklama","OTEL","","ANTALYA","KONYAALTI","ChIJ25Plb6SRwxQRXFBDHhVtGfU","operational-confirmed",""
"3756","GYPSOPHILA CLUB MARINE","Turizm İşletmesi Belgesi","Tatil Köyü","5 Yıldızlı","ANTALYA","KEMER","ChIJW27GEvbIwxQRRCq4LT1_BjY","operational-confirmed",""
"9216","HANE FAMİLY RESORT","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJvfIajjhZwxQR6kW50l91YB0","operational-confirmed",""
"26773","HARE HOTEL","Turizm İşletmesi Belgesi","Otel","1 Yıldızlı","ANTALYA","ALANYA","ChIJ1b7kqguO3BQRXLF0tdUUMp4","operational-confirmed",""
"2022-7-0545","HAWAII SUITE BEACH OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJuW-aHl6Y3BQRm8cg6E5OeEk","operational-confirmed",""
"25806","HEDEF BEACH HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJsQb9-_Kk3BQRIq5eSdORfi4","operational-confirmed",""
"2022-7-0456","HEDEF RESORT OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJl2fJLACl3BQRRn0emyDWXpA","operational-confirmed",""
"2022-7-0557","HİLAL OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJf0UNGY-i3BQRnxPQ7U5R8OA","operational-confirmed",""
"12490","HOTEL GOLDEN SUN","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","KEMER","ChIJM6oDiBe_wxQR1BHumrwC-qE","operational-confirmed",""
"3073","HOTEL ÖZKAYMAK","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJGRrpPIWY3BQRCxOzOHfMWpo","operational-confirmed",""
"22533","IN THE MIDDLE","Turizm İşletmesi Belgesi","Otel","2 Yıldızlı","ANTALYA","MURATPAŞA","ChIJ5f6lBamRwxQR0uxMvAHu3s8","operational-confirmed",""
"3494","INSULA RESORT&SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJZzlW23iRwxQRDUQBk-Igv_M","operational-confirmed",""
"2022-7-1273","İLLUSİON BEACH CLUB HOTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJARtI_AKj3BQRGN70Yc2ggnI","operational-confirmed",""
"4103","İNCEKUM WEST OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJ6zs6zcW9vxQR6Fz19wPhmK4","operational-confirmed",""
"13683","İZ FLOWER SİDE BEACH HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJrVDR5jVZwxQR6uAwz-7Zo6E","operational-confirmed",""
"17916","JUSTINIANO THEODORA OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJ_zboDVWs3BQR3DzNt5a-hbE","operational-confirmed",""
"19927","JUSTİNİANO PARK CONTİ OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJ93obnf2s3BQRirZU6DCxJZ8","operational-confirmed",""
"9019","KADEER HOTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJtVCnTGOZ3BQRh7-PKhTajN4","operational-confirmed",""
"11547","KAHYA OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJu7f-jXOl3BQRk-v6WyP5rV8","operational-confirmed",""
"13686","KAİA CORACESİUM","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJw6oJyE-l3BQRM9FtT9mr-6U","operational-confirmed",""
"16205","KAİLA BEACH HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJq6ouu62Z3BQRmBuOsH4aqqY","operational-confirmed",""
"4698","KAİLA KRİZANTEM OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJM0S4plOY3BQRKXv2fiBeUao","operational-confirmed",""
"19848","KANDELOR OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJMZDcp4eY3BQRx0j6UC4YRE8","operational-confirmed",""
"14330","KARMİR RESORT & SPA HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJ8wAAAPC4wxQR4VbkdcjqxUg","operational-confirmed",""
"2022-7-1322","KELEBEK OTEL","Basit Konaklama","OTEL","","ANTALYA","MANAVGAT","ChIJGee7Y7pZwxQRDWeyFy9QLt0","operational-confirmed",""
"12200","KEMER DREAM OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","KEMER","ChIJQ08eWZC3wxQR1P7WcT6-aVg","operational-confirmed",""
"2022-7-1550","KEMER HOTEL","Basit Konaklama","HOTEL","","ANTALYA","KEMER","ChIJh3o5qp-3wxQRJbHTjQJfNsY","operational-confirmed",""
"6234","KIRBIYIK RESORT OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJr5kQIHuQ3BQRuwInSiPTpBg","operational-confirmed",""
"3695","KLEOPATRA ADA BEACH OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJYx7HNoyi3BQRmw8phqLQfs4","operational-confirmed",""
"15354","KLEOPATRA ARSİ OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJ9zj9UI6i3BQRVsRT1KMjI0M","operational-confirmed",""
"4114","KLEOPATRA BEACH OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJZ4-SjI6i3BQRCbOWThGjvTU","operational-confirmed",""
"8543","KLEOPATRA BEBEK OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJHzvvPJui3BQRwbUZNFCHq0g","operational-confirmed",""
"2022-7-0257","KLEOPATRA CARINA OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJHRSqXZui3BQR33c_E7F_2to","operational-confirmed",""
"10367","KLEOPATRA LIFE OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJR2bb19uj3BQRig8nxSdrAnk","operational-confirmed",""
"7904","KLEOPATRA MİCADOR","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJCTkQHYWY3BQR6m17Pxmigo0","operational-confirmed",""
"17085","KLEOPATRA RAMİRA HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJHxrDsoCi3BQRUkPdgpnrmuc","operational-confirmed",""
"11078","KLEOPATRA ROYAL PALM OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJHSfADYyi3BQRzenOqFtT4Lk","operational-confirmed",""
"2022-7-0564","KLEOPATRA SAHARA OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJ0_wj_I6i3BQReWaUND8lLUY","operational-confirmed",""
"26130","KLEOPATRA SMİLE OTEL","Turizm İşletmesi Belgesi","Otel","2 Yıldızlı","ANTALYA","ALANYA","ChIJX8WLP3Gj3BQRfCO9VFordoE","operational-confirmed",""
"2022-7-0962","KORIENT MIRA OTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJJ_0zGEW3wxQRqyBbjKYHl2M","operational-confirmed",""
"2881","L'ANCORA BEACH HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","KEMER","ChIJTdEpbpm3wxQR45zLUktqBKw","operational-confirmed",""
"10102","L'OCEANICA BEACH RESORT","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJf0rL32a2wxQRdrY1mhTn60k","operational-confirmed",""
"26459","LA BENATA HOTEL","Turizm İşletmesi Belgesi","Otel","2 Yıldızlı","ANTALYA","MANAVGAT","ChIJWZK_Spet3BQRGfONqE3xEO4","operational-confirmed",""
"18761","LAGUNA BEACH ALYA RESORT & SPA HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJCTlMxKqt3BQRXLgf4V0cnSo","operational-confirmed",""
"2022-7-0604","LET'STAY HOTEL","Basit Konaklama","OTEL","","ANTALYA","MURATPAŞA","ChIJTSAfLhqbwxQRK0GjiQ6q8yQ","operational-confirmed",""
"18107","LITORE HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJSeI-PYWY3BQRYqFsEmS9dH4","operational-confirmed",""
"19450","LIU RESORTS","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJieNOmnWR3BQR8a1SfQY_VH0","operational-confirmed",""
"2022-7-0646","LİMS BONA DEA BEACH HOTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJawopIbC3wxQRG6-iN4bir_I","operational-confirmed",""
"10863","LİNDA OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJK8dfD1RXwxQRa-efk99vqVA","operational-confirmed",""
"13561","LİNDA SUNNY BEACH & SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJM9Zt7fFewxQR6kb6HymfaTk","operational-confirmed",""
"18338","LONICERA PREMIUM","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJv0voUCiZ3BQRm81DC9Ry-40","operational-confirmed",""
"2022-7-0288","LONİCERA CİTY HOTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJ2bASvoWi3BQRvvXi18BjbVE","operational-confirmed",""
"14066","LONİCERA WORLD RESORT SPA HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJ9Y8NdwCv3BQRy5Pr6IJvs40","operational-confirmed",""
"17885","LRS LAKE & RIVER SIDE HOTEL & SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJG8uNewCFwxQRPyM5iqvePE4","operational-confirmed",""
"14902","LRS PORT RIVER HOTEL & SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJc_4bXABXwxQRnLNtNDVsnio","operational-confirmed",""
"10142","LUCIDA BEACH HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJtY5bima2wxQRudl40gjwpco","operational-confirmed",""
"27158","LUSSO SORGUN","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJCYgnecpQwxQRDzNqgP_4BOo","operational-confirmed",""
"10090","LYCUS BEACH OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJtxCOQP6s3BQR4myydqz7h28","operational-confirmed",""
"8542","MA BICHE KEMER BY WERDE HOTELS","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJc1x31Oe5wxQRMMbk5hiJzQA","operational-confirmed",""
"2022-7-1575","MAGIC SUN OTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJsbD2wqW_wxQRpbcfWCY8KgM","operational-confirmed",""
"2022-7-1742","MALİBU GARDEN RESORT","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJq0U2cv62wxQRmEcFXTSPt7g","operational-confirmed",""
"2022-7-1479","MANAVGAT KERVAN OTEL","Basit Konaklama","OTEL","","ANTALYA","MANAVGAT","ChIJUe2ablNXwxQRyfatw_gbJo4","operational-confirmed",""
"14872","MARY HOTELS ALANYA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJ7WxCwmG3yhQRyKPOOhD4jJA","operational-confirmed",""
"18609","MC ARANCIA RESORT OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJ3xRqxPOk3BQRp3gzUDeEHlA","operational-confirmed",""
"19266","MERCURE ANTALYA BELEK OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","SERİK","ChIJMR3-ie17wxQRlD1TjW1Gwi0","operational-confirmed",""
"13654","MERHABA OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJjSYMTmSY3BQRbQPrhAt-rdA","operational-confirmed",""
"4799","MERYAN OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJTc5KlIeY3BQRimW-WBB4rkM","operational-confirmed",""
"2022-7-1670","MESUT OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJyb-hD1OY3BQRen29vJoAtkA","operational-confirmed",""
"2022-7-0492","MG HOTELS CLUB AKMAN BEACH","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJ8QFYA3a2wxQRG2wktrZGX88","operational-confirmed",""
"2022-7-1698","MIAROSA KONAKLI GARDEN OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJbxo7K4ul3BQRJ962Ng3jy5o","operational-confirmed",""
"2022-7-0050","MICHELL HOTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJKXk_kpWZ3BQRWatrnHfzFWw","operational-confirmed",""
"16675","MIRA MERIDIA BEACH RESORT HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJW5dS2FOj3BQR_wBWbL_kzC4","operational-confirmed",""
"3497","MIRAMARE BEACH HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJZVu81MpewxQRT5VRKMVfGkU","operational-confirmed",""
"2148","MISS CLEOPATRA HOTEL","Turizm İşletmesi Belgesi","Otel","2 Yıldızlı","ANTALYA","ALANYA","ChIJCYVFBo-i3BQRMx9MzV6CV6E","operational-confirmed",""
"2022-7-0590","MİDİ SUİTES OTEL","Basit Konaklama","HOTEL","","ANTALYA","ALANYA","ChIJzTgWSniZ3BQRyWrocb9b2T8","operational-confirmed",""
"G_24137","MİRADA DEL MAR HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJ9zFH-ua4wxQRSkD0EIwgVlg","operational-confirmed",""
"4579","MİRAY OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJX9VhHgCj3BQRreNAz_A2WP0","operational-confirmed",""
"2022-7-0428","MOLA OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJy1Xjj5yi3BQRG30ybHKWA9U","operational-confirmed",""
"3139","MONART CITY OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJEbeQUlmY3BQRLoyHlb5VpXg","operational-confirmed",""
"5072","MONTE CARLO","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJS9qannCY3BQRCWcOR-FQc8Y","operational-confirmed",""
"23119","MOONBOW BEACH HOTEL","Turizm İşletmesi Belgesi","Otel","2 Yıldızlı","ANTALYA","ALANYA","ChIJM6tELquZ3BQRVVhIP9gbamg","operational-confirmed",""
"2022-7-1481","MORE OTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJe-02_gW_wxQRNE_7JY8yvso","operational-confirmed",""
"2022-7-0202","MUZ OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJAQAAFRuj3BQRxdIz_2QIHt4","operational-confirmed",""
"11113","MY HOME RESORT OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJV5h4faav3BQRzEDsq9HeljE","operational-confirmed",""
"12688","MY HOME SKY OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJxTQY6aWv3BQRzEVCX2wk4RA","operational-confirmed",""
"21102","MYLOME LUXURY HOTEL & RESORT","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJ4QtzUayt3BQRrJD5CRTzxzQ","operational-confirmed",""
"2022-7-1034","NEBILUX HOTEL","Basit Konaklama","OTEL","","ANTALYA","MURATPAŞA","ChIJ8dw-eeyawxQRPCZHApptuCE","operational-confirmed",""
"21772","NEURON OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","KEMER","ChIJ9zn1HLK5wxQROeeET3X3rKM","operational-confirmed",""
"18875","NG PHASELIS BAY","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJobI6a4PLwxQRD6Sz71MlqF0","operational-confirmed",""
"6312","NOVİS HOTEL CLEOPATRA","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJT9StywGj3BQR-JVeyrq_MEk","operational-confirmed",""
"G_20406","NOXINN CLUB HOTELS","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJ636fC-Wl3BQROvJndwRu_OA","operational-confirmed",""
"20826","NOXINN DELUXE HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJby11WnKj3BQRFvJTIc5nuyc","operational-confirmed",""
"22762","NUMA CLUB SIDE","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJX-JRGEdHdkAR8U_eIQibbcg","operational-confirmed",""
"17308","NUMA KONAKTEPE OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJFS363vSk3BQRYv0rpT7I_L4","operational-confirmed",""
"12951","OBA STAR OTEL & SPA","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJsaaLblOY3BQRttAplmH1ySs","operational-confirmed",""
"11529","OLEANDER OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJvzj3P9dZwxQRWtiH-t_2UCA","operational-confirmed",""
"2022-7-1581","OLYA OTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJneNml35XwxQR2Av0c6foDYc","operational-confirmed",""
"11177","ONKEL HOTELS BELDİBİ RESORT","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","KEMER","ChIJqXIm-PO4wxQRSO6QC2R7zXg","operational-confirmed",""
"4504","OPERA HOTEL ANTALYA","Turizm İşletmesi Belgesi","Otel","1 Yıldızlı","ANTALYA","KONYAALTI","ChIJOR4X0geRwxQRonzsrQKuSA4","operational-confirmed",""
"2022-7-1080","ORANJ RANCH HOTEL","Basit Konaklama","HOTEL","","ANTALYA","KEMER","ChIJvWc1gQu2wxQRtyFnQWddtCs","operational-confirmed",""
"20766","ORFEUS  QUEEN  SPA","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJZcK-OllewxQR8Gp-w4mIqj4","operational-confirmed",""
"2022-7-1442","OTEL DURKAYA","Basit Konaklama","OTEL","","ANTALYA","MANAVGAT","ChIJA5quahNXwxQR5_7hucaoLS0","operational-confirmed",""
"15065","OZ HOTELS SUİ","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJS6dSaFSs3BQR1F8RuQZLXVk","operational-confirmed",""
"2022-7-0982","ÖZKAYMAK MARİNA OTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJfRRzCZi3wxQRPXuJ8wsWeL4","operational-confirmed",""
"15327","ÖZKAYMAK SELECT RESORT OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJ9XbBdJqv3BQRkfiW6OaNbhw","operational-confirmed",""
"2022-7-1299","PALM CİTY ALANYA HOTEL","Basit Konaklama","HOTEL","","ANTALYA","ALANYA","ChIJB88n3ruZ3BQRHCm5mOFIhaU","operational-confirmed",""
"11475","PALMERAS BEACH HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJ6Y0FyPuk3BQREtW596sXmX0","operational-confirmed",""
"7346","PALOMA SENCIA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","SERİK","ChIJ0wWOGgBlwxQRywiDd3684QA","operational-confirmed",""
"2022-7-1488","PASCHA OTEL","Basit Konaklama","OTEL","","ANTALYA","SERİK","ChIJLzBJAfV9wxQRSlBb8y3pVU0","operational-confirmed",""
"27382","PERA AURA","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","KEMER","ChIJqzYifpC3wxQRd7YQuAFlaIc","operational-confirmed",""
"7525","PERRE DELTA RESORT & SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJl_QPEI2t3BQRzt-Z4gmVLto","operational-confirmed",""
"12650","PORT SİDE RESORT HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJx4bG68hewxQR9WuzJbdX4B8","operational-confirmed",""
"25069","PRENSES SEALİNE BEACH OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","SERİK","ChIJwRKbpeKPwxQRBqzaZz4Anb4","operational-confirmed",""
"18083","PRIME OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","MURATPAŞA","ChIJvX5j1KaawxQRtE5w3BIjk7o","operational-confirmed",""
"13520","QUATTRO BEACH SPA &RESORT","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJSeI-PYWY3BQRobs-UEU6Rxg","operational-confirmed",""
